step,ee_x_b,ee_y_b,ee_z_b,radius_m,min_joint_margin,pose_err_m,manipulability,gripper
253,0.4001,-0.0,1.2103,0.9356,0.0597,0.0003,0.012282,0.035
254,0.3994,-0.0,1.2104,0.9357,0.0595,0.0004,0.012256,0.035
255,0.3988,-0.0,1.2105,0.9357,0.0593,0.001,0.012239,0.035
256,0.3984,-0.0,1.2105,0.9357,0.0592,0.0014,0.012229,0.035
257,0.3982,-0.0,1.2106,0.9357,0.0592,0.0016,0.012226,0.035
258,0.3981,-0.0,1.2106,0.9357,0.0592,0.0017,0.012229,0.035
259,0.3982,-0.0,1.2106,0.9357,0.0593,0.0016,0.012237,0.035
260,0.3983,-0.0,1.2105,0.9357,0.0594,0.0014,0.012247,0.035
261,0.3986,-0.0,1.2105,0.9357,0.0595,0.0012,0.01226,0.035
262,0.3989,-0.0,1.2105,0.9357,0.0597,0.0009,0.012273,0.035
263,0.3991,-0.0,1.2104,0.9357,0.0598,0.0006,0.012286,0.035
264,0.3994,-0.0,1.2104,0.9357,0.0599,0.0003,0.012298,0.035
265,0.3997,-0.0,1.2103,0.9357,0.06,0.0001,0.012307,0.035
266,0.3999,-0.0,1.2103,0.9357,0.0601,0.0001,0.012315,0.035
267,0.4001,-0.0,1.2103,0.9356,0.0601,0.0003,0.01232,0.035
268,0.4002,-0.0,1.2103,0.9356,0.0601,0.0004,0.012323,0.035
269,0.4002,-0.0,1.2103,0.9356,0.0601,0.0005,0.012324,0.035
270,0.4003,-0.0,1.2102,0.9356,0.0601,0.0005,0.012323,0.035
271,0.4002,-0.0,1.2103,0.9356,0.0601,0.0005,0.012321,0.035
272,0.4002,-0.0,1.2103,0.9356,0.0601,0.0004,0.012318,0.035
273,0.4001,-0.0,1.2103,0.9356,0.0601,0.0004,0.012314,0.035
274,0.4,-0.0,1.2103,0.9356,0.06,0.0003,0.01231,0.035
275,0.3999,-0.0,1.2103,0.9356,0.06,0.0002,0.012306,0.035
276,0.3999,-0.0,1.2103,0.9357,0.0599,0.0001,0.012303,0.035
277,0.3998,-0.0,1.2103,0.9357,0.0599,0.0,0.0123,0.035
278,0.3997,-0.0,1.2103,0.9357,0.0599,0.0,0.012298,0.035
279,0.3997,-0.0,1.2103,0.9357,0.0599,0.0001,0.012296,0.035
280,0.3996,-0.0,1.2103,0.9357,0.0599,0.0001,0.012295,0.035
281,0.3996,-0.0,1.2103,0.9357,0.0599,0.0001,0.012295,0.035
282,0.3996,-0.0,1.2103,0.9357,0.0599,0.0001,0.012295,0.035
283,0.3996,-0.0,1.2103,0.9357,0.0599,0.0001,0.012296,0.035
284,0.3996,-0.0,1.2103,0.9357,0.0599,0.0001,0.012297,0.035
285,0.3997,-0.0,1.2103,0.9357,0.0599,0.0001,0.012298,0.035
286,0.3997,-0.0,1.2103,0.9357,0.0585,0.002,0.012249,0.035
287,0.3996,-0.0,1.2101,0.9354,0.0559,0.0038,0.012156,0.035
288,0.3996,-0.0,1.2096,0.9349,0.053,0.0053,0.012044,0.035
289,0.3999,-0.0,1.2088,0.9341,0.0504,0.0064,0.011939,0.035
290,0.4011,-0.0,1.2077,0.9332,0.0482,0.0075,0.011864,0.035
291,0.4032,-0.0,1.2064,0.9321,0.0466,0.0087,0.011832,0.035
292,0.4064,-0.0,1.2048,0.9309,0.0457,0.0108,0.011877,0.035
293,0.4109,-0.0,1.203,0.9296,0.0453,0.0141,0.012022,0.035
294,0.4168,-0.0,1.2011,0.9285,0.0453,0.0191,0.012267,0.035
295,0.4238,-0.0,1.1992,0.9274,0.0457,0.0256,0.012601,0.035
296,0.4318,-0.0,1.197,0.9265,0.0462,0.0332,0.013007,0.035
297,0.4405,-0.0,1.1947,0.9255,0.0468,0.0416,0.013472,0.035
298,0.4498,-0.0,1.1923,0.9245,0.0473,0.0507,0.013983,0.035
