radius_m,manipulability,ee_x,ee_y,ee_z
0.9781,0.079523,-0.2045,0.5886,0.8728
0.7146,0.042315,0.0052,-0.5243,0.6782
0.9528,0.07584,0.8239,-0.0342,1.0727
0.8476,0.087667,0.3481,0.0148,1.1257
0.2743,0.046504,0.5181,0.1244,0.3726
1.012,0.058336,0.4252,0.3342,1.2239
0.3746,0.033301,0.1491,0.2598,0.4981
0.2416,0.057097,0.4045,0.2085,0.2694
0.426,0.047884,0.2167,0.3797,0.4401
0.796,0.092429,0.6954,-0.347,0.8787
0.98,0.073306,1.036,-0.2263,0.8837
0.6327,0.138032,0.6133,0.4844,0.5208
0.9389,0.099042,0.1537,-0.365,1.1363
0.6547,0.060994,-0.1767,0.1473,0.706
0.0959,0.056805,0.3819,-0.0067,0.2374
0.9235,0.049065,0.6871,-0.0099,1.1166
0.6122,0.060997,0.6416,0.0972,0.7744
0.6246,0.040385,0.3214,0.2225,0.8603
0.9723,0.080503,0.1769,0.2321,1.2149
0.6147,0.111856,0.6426,0.4817,0.4168
1.0065,0.079603,0.6354,0.6173,0.9927
0.6823,0.053801,0.7976,0.0943,0.7311
0.8818,0.099369,-0.071,-0.386,0.9867
0.6795,0.072078,-0.0855,-0.1911,0.8115
0.8774,0.122254,0.8564,0.0239,0.9543
0.8767,0.051627,-0.2134,0.156,0.9747
0.8577,0.034257,-0.5274,0.1407,0.4698
0.4925,0.036481,0.0,-0.1054,0.6613
0.8602,0.045438,0.0876,0.3663,1.0265
0.4875,0.121066,-0.0444,0.3361,0.344
1.1676,0.015763,0.5063,0.1644,1.4157
0.5438,0.038053,0.0133,-0.0292,0.7441
1.0783,0.055726,0.0397,-0.4098,1.247
0.989,0.068546,-0.2647,-0.5056,0.9245
0.8066,0.076308,0.009,-0.0759,1.0307
0.5625,0.04225,0.4466,0.3373,0.6985
1.0893,0.060271,0.149,0.081,1.3558
1.0637,0.040032,0.5084,0.5308,1.1727
0.4278,0.096747,0.7195,-0.0663,0.2714
0.5563,0.043124,0.6262,-0.0587,0.7247
0.941,0.087263,-0.4643,-0.0425,0.8335
0.561,0.079014,0.3258,-0.4797,0.5808
0.4593,0.076745,0.329,0.4297,0.4182
0.86,0.090748,0.8239,0.3705,0.8442
0.5381,0.064408,0.1241,-0.4013,0.6035
0.4555,0.022752,0.0357,0.0053,0.6536
0.9143,0.039326,-0.0917,-0.0941,1.1035
0.8617,0.098154,0.3331,-0.1993,1.1191
0.7461,0.101022,0.1838,0.5838,0.7215
0.9427,0.027184,0.0208,0.0453,1.1802
0.8723,0.064747,0.9349,-0.0999,0.8664
0.2698,0.030004,0.368,-0.1978,0.4567
0.8491,0.118163,0.8588,-0.0214,0.9155
1.0141,0.040704,0.3478,0.2203,1.2669
0.9237,0.057221,-0.4354,-0.3958,0.689
0.8421,0.047379,0.8955,-0.1433,0.8554
0.5342,0.0807,0.3592,-0.4951,0.4877
1.037,0.011271,0.222,-0.0989,1.3103
1.1312,0.06079,0.4707,0.2466,1.3684
0.9321,0.015819,0.3033,0.1263,1.2025
0.7337,0.045959,0.3443,0.0011,1.0121
1.0117,0.085066,0.8826,0.3256,1.0341
0.306,0.047597,0.0258,0.1307,0.3218
1.0392,0.059299,0.5847,-0.5923,1.0887
0.8048,0.025398,0.152,0.5644,0.8281
0.788,0.054483,0.3843,0.5187,0.8602
0.8199,0.042847,0.278,-0.4526,0.968
0.5368,0.106449,-0.1614,0.2509,0.3917
0.932,0.113023,-0.0009,-0.3205,1.106
1.0086,0.091188,0.0543,0.5988,1.0494
0.5145,0.081312,0.297,0.4361,0.5412
0.7928,0.040938,0.0833,-0.3107,0.9808
0.8069,0.053722,0.8066,-0.0861,0.8997
0.8763,0.105853,-0.248,-0.31,0.8966
0.5974,0.091126,0.1881,0.5025,0.5725
0.2484,0.058869,0.1738,-0.2234,0.2778
1.0344,0.086474,0.6473,0.0263,1.2523
1.0203,0.103248,0.5907,0.5532,1.0802
0.7772,0.082777,-0.152,0.4852,0.6815
0.9979,0.034022,0.2599,-0.0677,1.2754
0.4614,0.030316,0.1534,-0.2987,0.6078
0.9363,0.04721,0.5993,-0.2264,1.1382
1.0662,0.062549,-0.2448,-0.3949,1.113
0.979,0.026148,0.3465,-0.0171,1.2577
0.6124,0.063768,-0.3014,0.0809,0.3831
0.5198,0.048532,-0.0654,-0.2683,0.5473
1.0934,0.017597,0.1775,0.4798,1.2518
1.1106,0.052733,0.4113,-0.3133,1.3413
1.0987,0.042862,0.1147,-0.5393,1.224
0.901,0.119128,-0.3853,-0.0999,0.8623
0.7126,0.037711,0.0937,0.226,0.9223
0.6596,0.054814,0.2412,-0.2899,0.8734
0.4076,0.083209,0.0506,-0.3322,0.295
0.3896,0.044826,0.1075,0.2745,0.4723
0.3907,0.088165,0.6781,-0.0866,0.2948
0.7141,0.064678,0.3667,-0.2362,0.9527
0.8989,0.090057,-0.0198,-0.2031,1.0985
0.7208,0.107392,0.8511,-0.3057,0.6295
0.6882,0.045115,0.631,-0.2926,0.8088
0.8961,0.062935,-0.1944,-0.1776,1.0104
0.9994,0.096334,0.6548,-0.1289,1.2047
0.7208,0.081202,0.4383,0.6413,0.5609
0.7513,0.125145,0.3928,-0.7142,0.5144
0.5526,0.040558,0.299,-0.2716,0.7651
1.0209,0.06111,0.366,0.464,1.183
0.7677,0.083866,0.0432,-0.6994,0.495
0.8231,0.101812,1.0022,-0.1983,0.6569
0.7983,0.118552,0.1048,-0.7214,0.5808
0.8701,0.054883,0.6068,-0.3916,0.9959
0.1273,0.047144,0.3815,0.0852,0.2611
1.1131,0.048783,0.1628,0.4095,1.3036
1.0137,0.05484,0.7353,-0.2212,1.1681
0.8966,0.0655,0.6308,-0.5259,0.9301
0.5175,0.0434,0.6094,0.1728,0.6504
0.8831,0.103505,0.9082,0.3313,0.819
0.8586,0.098715,0.1645,0.7907,0.5692
0.881,0.082787,1.0372,-0.0446,0.7546
0.8965,0.054772,0.6258,0.0795,1.1091
0.7356,0.06794,0.5963,-0.0975,0.9453
0.3731,0.068884,-0.0305,0.1328,0.3943
0.781,0.071467,0.1837,-0.4751,0.8951
1.0683,0.067706,0.7339,0.4056,1.1626
1.0782,0.060705,-0.1538,-0.1642,1.2472
0.6657,0.051623,0.4949,-0.5252,0.6475
0.3947,0.043558,0.3238,-0.289,0.5548
0.84,0.051171,-0.5278,0.047,0.4354
0.5958,0.070836,-0.1467,-0.1979,0.6302
0.8286,0.089232,1.0648,-0.0704,0.5822
0.9378,0.05936,0.5817,-0.218,1.1479
0.172,0.018973,0.3694,-0.0671,0.4234
0.77,0.049575,0.1381,-0.0667,1.0313
1.1667,0.020869,0.3476,0.0854,1.4418
1.0256,0.05889,0.6917,0.242,1.1928
1.0146,0.077223,0.761,0.069,1.1785
0.5036,0.050384,0.6953,0.286,0.3707
1.1589,0.020267,0.1223,0.0769,1.4227
1.069,0.052927,0.0587,-0.5858,1.1469
0.9383,0.022721,0.2845,-0.0316,1.2179
0.8916,0.068352,0.6703,-0.4292,0.9703
0.9241,0.048385,0.2648,-0.8493,0.659
0.8503,0.078868,0.4365,0.6645,0.7822
1.0424,0.035353,0.3754,-0.7598,0.9968
0.6526,0.129783,0.6649,-0.4376,0.6032
0.7901,0.115321,0.348,-0.7753,0.4569
0.5535,0.043667,0.1767,-0.2775,0.748
